需求,key,备注,中文（zh）,英语（en）,阿语（ar）,Turkish,,,,,,,,,,,,,,,,
P0【H5】公会主播中心-Mia ,agency_v2300_1,,邀请新人,Invite New Members,دعوة أعضاء جدد,Yeni Üyeler Davet Et,,,,,,,,,,,,,,,,
,agency_v2300_2,,主播收益私信（次数）,Host Messages with Earnings (Count),رسائل المضيف التي تتضمن أرباحًا (العدد),Kazancı Olan Sunucu Mesajları (Sayı),,,,,,,,,,,,,,,,
,agency_v2300_3,,主播收益通话（时分秒）,Host Calls with Earnings (hh:mm:ss),مكالمات المضيف التي تتضمن أرباحًا (الساعة:الدقيقة:الثانية),Kazancı Olan Sunucu Aramaları (ss:dd:ss),,,,,,,,,,,,,,,,
,agency_v2300_4,,收益私信（次数）,Messages with Earnings (Count),الرسائل التي تتضمن أرباحًا (العدد),Kazancı Olan Mesajlar (Sayı),,,,,,,,,,,,,,,,
,agency_v2300_5,,收益通话（时分秒）,Calls with Earnings (hh:mm:ss),المكالمات التي تتضمن أرباحًا (الساعة:الدقيقة:الثانية),Kazancı Olan Aramalar (ss:dd:ss),,,,,,,,,,,,,,,,
,agency_v2300_6,,【全部】类型包含①礼物②系统任务奖励等水晶收入。水晶价值8300水晶=1美金。,"[All] includes crystal earnings from ① gifts, ② system task rewards. 8,300 crystals = 1 USD.","[الكل] تشمل أرباح الكريستالات من: ① الهدايا، ② مكافآت مهام النظام. 8,300 كريستالة = 1 دولار أمريكي.","[All] şunlardan gelen kristal kazançlarını içerir: ① hediyeler, ② sistem görevi ödülleri. 8.300 kristal = 1 $.",,,,,,,,,,,,,,,,
,agency_v2300_7,,收益私信,Messages with Earnings,الرسائل التي تتضمن أرباحًا,Kazancı Olan Mesajlar,,,,,,,,,,,,,,,,
,agency_v2300_8,,收益通话,Calls with Earnings,المكالمات التي تتضمن أرباحًا,Kazancı Olan Aramalar,,,,,,,,,,,,,,,,
,agency_v2300_9,,在范围时间内，按自然日（UTC+0）统计，主播的在线时长>0分钟记为1天，统计在线天数之和,"Total online days within the time range, where an online day is any calendar day (UTC+0) when the host has > 0 minutes of online time.",إجمالي أيام الاتصال ضمن النطاق الزمني، حيث يُعرّف يوم الاتصال بأنه أي يوم تقويمي (+0 بالتوقيت العالمي) يكون لدى المضيف فيه أكثر من 0 دقيقة من وقت الاتصال.,Zaman aralığında toplam online olunan gün sayısı. GMT+0 zaman dilimine göre sunucunun 0 dakikadan fazla online olduğu her gün sayılır.,,,,,,,,,,,,,,,,
,agency_v2300_10,,在范围时间内，主播在私信发消息且获得收益的私信次数，未获得收益的不展示；,Number of private messages sent by the host within the time range that generated earnings. Messages without earnings are not shown.,عدد الرسائل الخاصة التي أرسلها المضيف ضمن النطاق الزمني والتي حققت أرباحًا. الرسائل التي لم تحقق أرباحًا غير معروضة.,Zaman aralığında sunucunun gönderdiği ve kazanç getiren özel mesaj sayısı. Kazanç getirmeyen mesajlar gösterilmemektedir.,,,,,,,,,,,,,,,,
,agency_v2300_11,,在范围时间内，主播在通话且获得收益的时长累计，未获得收益的通话不展示；,Total duration of calls made by the host within the time range that generated earnings. Calls without earnings are not shown.,إجمالي مدة المكالمات التي أجراها المضيف ضمن النطاق الزمني والتي حققت أرباحًا. المكالمات التي لم تحقق أرباحًا غير معروضة.,Zaman aralığında sunucunun yaptığı ve kazanç getiren arama sayısı. Kazanç getirmeyen aramalar gösterilmemektedir.,,,,,,,,,,,,,,,,
P0【客户端】推动新男1v1首充-Mia ,new_recharge_v2300_1,,免费次数即将用完，请尽快充值才能继续聊天,Your free messages are almost used up. Please recharge soon to continue chatting.,لقد أوشكت رسائلك المجانية على النفاد. يُرجى إعادة الشحن قريبًا لمواصلة الدردشة.,Ücretsiz mesaj hakkın bitmek üzere. Lütfen sohbete devam edebilmek için yakın zamanda yükleme yap.,,,,,,,,,,,,,,,,
,new_recharge_v2300_2,,充值,Recharge,إعادة الشحن,Yükle,,,,,,,,,,,,,,,,
,new_recharge_v2300_3,,免费次数已经用完，请尽快充值才能继续聊天,You have run out of free messages. Please recharge soon to continue chatting.,لقد نفدت رسائلك المجانية. يُرجى إعادة الشحن قريبًا لمواصلة الدردشة.,Ücretsiz mesaj hakkın bitti. Lütfen sohbete devam edebilmek için yakın zamanda yükleme yap.,,,,,,,,,,,,,,,,
,new_recharge_v2300_4,,你怎么突然不理我了,Why did you stop talking to me?,لماذا توقفت عن التحدث إليّ؟,Benimle konuşmayı neden bıraktın?,,,,,,,,,,,,,,,,
,new_recharge_v2300_5,,我跟你还没有聊够呢 ,I want to chat some more with you.,أريد أن أتحدث معك أكثر.,Seninle biraz daha sohbet etmek istiyorum.,,,,,,,,,,,,,,,,
,new_recharge_v2300_6,,还想继续跟你聊天 ,I want to keep chatting with you.,أريد أن أواصل الحديث معك.,Seninle sohbete devam etmek istiyorum.,,,,,,,,,,,,,,,,
,new_recharge_v2300_7,,你能不能跟我继续聊天,Can you chat more with me?,هل يمكنك التحدث معي أكثر؟,Benimle biraz daha sohbet eder misin?,,,,,,,,,,,,,,,,
,new_recharge_v2300_8,,聊得正开心呢，你去哪儿啦？,"We were having such a great chat, where did you go?",كنا نجري حديثًا رائعًا، أين ذهبت؟,"Sohbetimiz çok iyiydi, nereye gittin?",,,,,,,,,,,,,,,,
,new_recharge_v2300_9,,你是不是不小心退出了？我还在等你继续聊哦,Did you exit by accident? I'm waiting to continue our chat.,هل خرجت عن طريق الخطأ؟ أنا في انتظار أن نتابع حديثنا.,Yanlışlıkla mı çıktın? Sohbetimize devam etmek için bekliyorum.,,,,,,,,,,,,,,,,
,new_recharge_v2300_10,,你不说话，我会一直等你回复,"If you don't say anything, I'll keep waiting for your reply.",إن لم تقل شيئًا، فسأظلّ في انتظار ردّك.,Bir şey söylemezsen cevabını beklemeye devam edeceğim.,,,,,,,,,,,,,,,,
,new_recharge_v2300_11,,你是不是不想搭理我了呀,Don't you want to talk to me anymore?,ألا ترغب في التحدث إليّ بعد الآن؟,Artık benimle konuşmak istemiyor musun?,,,,,,,,,,,,,,,,
,new_recharge_v2300_12,,还想听你多说点,I want to hear more from you.,أودّ أن أسمع منك المزيد.,Konuşmaya devam etmek istiyorum.,,,,,,,,,,,,,,,,
